Modelo,MAE,MSE,R2,SMAPE
0,0.015372138843604048,0.0006837013516892901,0.46937094844786165,27.971200154439767
1,0.01498561392263399,0.0006343668376151745,0.5807892972568627,20.32064262852426
2,0.01875389186867567,0.000874299208566642,0.3092248013530351,33.50996155928644
3,0.015453120782262275,0.0006440503920947557,0.5483808234564398,21.672205208610347
4,0.019055366506432244,0.0009038789424198269,0.2984884046972761,34.021328154287346
5,0.01746686467118573,0.000800846779337525,0.4707738153246249,24.034565254632174
6,0.018665548674043356,0.000868867120436982,0.3135166407142824,33.303442816594746
7,0.01530273458823061,0.0006265135118637618,0.5606779845268723,21.37697633061122
